Response Variable,Predictor Transformation,Correlation,R^2
SalePrice_sqrt,LotArea_log:OverallQual,0.856,0.732
SalePrice_sqrt,GrLivArea_log:OverallQual,0.852,0.727
SalePrice_sqrt,OverallQual_2:GarageCars,0.851,0.724
SalePrice_sqrt,OverallQual_sqrt:GarageCars,0.851,0.724
SalePrice_sqrt,OverallQual_2:TotRmsAbvGrd_log,0.851,0.724
SalePrice_sqrt,OverallQual_sqrt:TotRmsAbvGrd_log,0.851,0.724
SalePrice_sqrt,X1stFlrSF_log:OverallQual,0.851,0.724
SalePrice_sqrt,OverallQual_2:LotArea_log,0.85,0.723
SalePrice_sqrt,OverallQual_sqrt:LotArea_log,0.85,0.723
SalePrice_sqrt,OverallQual_2:GrLivArea_log,0.847,0.717
SalePrice_sqrt,OverallQual_sqrt:GrLivArea_log,0.847,0.717
SalePrice_sqrt,OverallQual_2:X1stFlrSF_log,0.844,0.713
SalePrice_sqrt,OverallQual_sqrt:X1stFlrSF_log,0.844,0.713
SalePrice_sqrt,TotRmsAbvGrd_log:OverallQual,0.841,0.707
SalePrice_sqrt,OverallQual_log:GrLivArea_log,0.837,0.7
SalePrice_sqrt,OverallQual_2:TotRmsAbvGrd,0.835,0.698
SalePrice_sqrt,OverallQual_sqrt:TotRmsAbvGrd,0.835,0.698
SalePrice_sqrt,OverallQual_log:X1stFlrSF_log,0.834,0.695
SalePrice_sqrt,OverallQual_2,0.828,0.685
SalePrice_sqrt,OverallQual_sqrt,0.828,0.685
SalePrice_sqrt,OverallQual:GrLivArea,0.827,0.685
SalePrice_sqrt,UtilitiesAllPub:OverallQual_2,0.827,0.684
SalePrice_sqrt,UtilitiesAllPub:OverallQual_sqrt,0.827,0.684
SalePrice_sqrt,OverallQual_2:OverallQual_log,0.827,0.684
SalePrice_sqrt,OverallQual_sqrt:OverallQual_log,0.827,0.684
SalePrice_sqrt,LotArea_log:OverallQual_log,0.827,0.683
SalePrice_sqrt,OverallQual:GarageCars,0.826,0.682
SalePrice_sqrt,OverallQual_2:GrLivArea,0.826,0.682
SalePrice_sqrt,OverallQual_sqrt:GrLivArea,0.826,0.682
SalePrice_sqrt,StreetPave:OverallQual_2,0.825,0.68
SalePrice_sqrt,StreetPave:OverallQual_sqrt,0.825,0.68
SalePrice_sqrt,OverallQual_2:GarageArea,0.823,0.678
SalePrice_sqrt,OverallQual_sqrt:GarageArea,0.823,0.678
SalePrice_sqrt,OverallQual_log:OverallQual,0.823,0.677
SalePrice_sqrt,OverallQual_2:OverallQual,0.822,0.676
SalePrice_sqrt,OverallQual_sqrt:OverallQual,0.822,0.676
SalePrice_sqrt,OverallQual_2:TotalBsmtSF_log,0.822,0.675
SalePrice_sqrt,OverallQual_sqrt:TotalBsmtSF_log,0.822,0.675
SalePrice_sqrt,OverallQual_2:FullBath,0.821,0.674
SalePrice_sqrt,OverallQual_sqrt:FullBath,0.821,0.674
SalePrice_sqrt,CentralAirY:OverallQual_2,0.817,0.667
SalePrice_sqrt,CentralAirY:OverallQual_sqrt,0.817,0.667
SalePrice_sqrt,OverallQual,0.816,0.666
SalePrice_sqrt,UtilitiesAllPub:OverallQual,0.813,0.66
SalePrice_sqrt,Condition2Norm:OverallQual_2,0.812,0.659
SalePrice_sqrt,Condition2Norm:OverallQual_sqrt,0.812,0.659
SalePrice_sqrt,OverallQual_2:OverallCond_log,0.81,0.656
SalePrice_sqrt,OverallQual_sqrt:OverallCond_log,0.81,0.656
SalePrice_sqrt,OverallQual_2:GarageCars_2,0.809,0.655
SalePrice_sqrt,OverallQual_2:GarageCars_sqrt,0.809,0.655
